"ID","company_code","holiday_date","holiday_year","holiday_month","holiday_day","holiday_name","holiday_remark","del_flg","reg_account","reg_time","upd_account","upd_time"
1,"000001","20210101","2021","01","01",元日,年のはじめを祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
2,"000001","20210111","2021","01","11",成人の日,おとなになったことを自覚し、みずから生き抜こうとする青年を祝いはげます。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
3,"000001","20210211","2021","02","11",建国記念の日,建国をしのび、国を愛する心を養う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
4,"000001","20210223","2021","02","23",天皇誕生日,天皇の誕生日を祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
5,"000001","20210320","2021","03","20",春分の日,自然をたたえ、生物をいつくしむ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
6,"000001","20210429","2021","04","29",昭和の日,激動の日々を経て、復興を遂げた昭和の時代を顧み、国の将来に思いをいたす。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
7,"000001","20210503","2021","05","03",憲法記念日,日本国憲法の施行を記念し、国の成長を期する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
8,"000001","20210504","2021","05","04",みどりの日,自然に親しむとともにその恩恵に感謝し、豊かな心をはぐくむ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
9,"000001","20210505","2021","05","05",こどもの日,こどもの人格を重んじ、こどもの幸福をはかるとともに、母に感謝する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
10,"000001","20210722","2021","07","22",海の日,海の恩恵に感謝するとともに、海洋国日本の繁栄を願う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
11,"000001","20210723","2021","07","23",スポーツの日,スポーツにしたしみ、健康な心身をつちかう。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
12,"000001","20210808","2021","08","08",山の日,山に親しむ機会を得て、山の恩恵に感謝する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
13,"000001","20210809","2021","08","09",休日,祝日法第3条第2項による休日,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
14,"000001","20210920","2021","09","20",敬老の日,多年にわたり社会につくしてきた老人を敬愛し、長寿を祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
15,"000001","20210923","2021","09","23",秋分の日,祖先をうやまい、なくなった人々をしのぶ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
16,"000001","20211103","2021","11","03",文化の日,自由と平和を愛し、文化をすすめる。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
17,"000001","20211123","2021","11","23",勤労感謝の日,勤労をたっとび、生産を祝い、国民たがいに感謝しあう。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
18,"000001","20211230","2021","12","30",年末年始,"","0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
19,"000001","20211231","2021","12","31",年末年始,"","0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
20,"000001","20220101","2022","01","01",元日,年のはじめを祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
21,"000001","20220110","2022","01","10",成人の日,おとなになったことを自覚し、みずから生き抜こうとする青年を祝いはげます。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
22,"000001","20220211","2022","02","11",建国記念の日,建国をしのび、国を愛する心を養う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
23,"000001","20220223","2022","02","23",天皇誕生日,天皇の誕生日を祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
24,"000001","20220321","2022","03","21",春分の日,自然をたたえ、生物をいつくしむ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
25,"000001","20220429","2022","04","29",昭和の日,激動の日々を経て、復興を遂げた昭和の時代を顧み、国の将来に思いをいたす。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
26,"000001","20220503","2022","05","03",憲法記念日,日本国憲法の施行を記念し、国の成長を期する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
27,"000001","20220504","2022","05","04",みどりの日,自然に親しむとともにその恩恵に感謝し、豊かな心をはぐくむ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
28,"000001","20220505","2022","05","05",こどもの日,こどもの人格を重んじ、こどもの幸福をはかるとともに、母に感謝する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
29,"000001","20220718","2022","07","18",海の日,海の恩恵に感謝するとともに、海洋国日本の繁栄を願う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
30,"000001","20220811","2022","08","11",山の日,山に親しむ機会を得て、山の恩恵に感謝する。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
31,"000001","20220919","2022","09","19",敬老の日,多年にわたり社会につくしてきた老人を敬愛し、長寿を祝う。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
32,"000001","20220923","2022","09","23",秋分の日,祖先をうやまい、なくなった人々をしのぶ。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
33,"000001","20221010","2022","10","10",スポーツの日,スポーツにしたしみ、健康な心身をつちかう。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
34,"000001","20221103","2022","11","03",文化の日,自由と平和を愛し、文化をすすめる。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
35,"000001","20221123","2022","11","23",勤労感謝の日,勤労をたっとび、生産を祝い、国民たがいに感謝しあう。,"0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
36,"000001","20220103","2022","01","03",年末年始,"","0","999999","2020-12-12 12:00:00","999999","2020-12-12 12:00:00"
37,"000001","20221230","2022","12","30",年末年始,年末年始,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
38,"000001","20210101","2023","01","01",元日,年のはじめを祝う。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
39,"000001","20210102","2023","01","02",振替休日,振替休日,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
40,"000001","20230103","2023","01","03",年末年始,年末年始,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
41,"000001","20230109","2023","01","09",成人の日,おとなになったことを自覚し、みずから生き抜こうとする青年を祝いはげます。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
42,"000001","20230211","2023","02","11",建国記念の日,建国をしのび、国を愛する心を養う。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
43,"000001","20230223","2023","02","23",天皇誕生日,天皇の誕生日を祝う。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
44,"000001","20230321","2023","03","21",春分の日,年自然をたたえ、生物をいつくしむ。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
45,"000001","20230429","2023","04","29",昭和の日,激動の日々を経て、復興を遂げた昭和の時代を顧み、国の将来に思いをいたす。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
46,"000001","20230503","2023","05","03",憲法記念日,日本国憲法の施行を記念し、国の成長を期する。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
47,"000001","20230504","2023","05","04",みどりの日,自然に親しむとともにその恩恵に感謝し、豊かな心をはぐくむ。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
48,"000001","20230505","2023","05","05",こどもの日,こどもの人格を重んじ、こどもの幸福をはかるとともに、母に感謝する。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
49,"000001","20230717","2023","07","17",海の日,海の恩恵に感謝するとともに、海洋国日本の繁栄を願う。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
50,"000001","20230811","2023","08","11",山の日,山に親しむ機会を得て、山の恩恵に感謝する。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
51,"000001","20230918","2023","09","18",敬老の日,多年にわたり社会につくしてきた老人を敬愛し、長寿を祝う。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
52,"000001","20230923","2023","09","23",秋分の日,祖先をうやまい、なくなった人々をしのぶ。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
53,"000001","20231009","2023","10","09",スポーツの日,スポーツにしたしみ、健康な心身をつちかう。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
54,"000001","20231103","2023","11","03",文化の日,自由と平和を愛し、文化をすすめる。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
55,"000001","20231123","2023","11","23",勤労感謝の日,勤労をたっとび、生産を祝い、国民たがいに感謝しあう。,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
56,"000001","20230102","2023","01","02",振替休日,振替休日,"0",SysAdminChoyo,"2023-01-11 00:00:00",SysAdminChoyo,"2023-01-11 00:00:00"
57,"000001","20231230","2023","12","30",年末年始,年末年始,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
58,"000001","20240101","2024","01","01",元日,年のはじめを祝う。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
59,"000001","20240102","2024","01","02",年末年始,年末年始,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
60,"000001","20240103","2024","01","03",年末年始,年末年始,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
61,"000001","20240108","2024","01","08",成人の日,おとなになったことを自覚し、みずから生き抜こうとする青年を祝いはげます。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
62,"000001","20240211","2024","02","11",建国記念の日,建国をしのび、国を愛する心を養う。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
63,"000001","20240212","2024","02","12",祝日法第3条第2項による休日,祝日法第3条第2項による休日,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
64,"000001","20240223","2024","02","23",天皇誕生日,天皇の誕生日を祝う。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
65,"000001","20240320","2024","03","20",春分の日,年自然をたたえ、生物をいつくしむ。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
66,"000001","20240429","2024","04","29",昭和の日,激動の日々を経て、復興を遂げた昭和の時代を顧み、国の将来に思いをいたす。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
67,"000001","20240503","2024","05","03",憲法記念日,日本国憲法の施行を記念し、国の成長を期する。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
68,"000001","20240504","2024","05","04",みどりの日,自然に親しむとともにその恩恵に感謝し、豊かな心をはぐくむ。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
69,"000001","20240505","2024","05","05",こどもの日,こどもの人格を重んじ、こどもの幸福をはかるとともに、母に感謝する。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
70,"000001","20240506","2024","05","06",祝日法第3条第2項による休日,祝日法第3条第2項による休日,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
71,"000001","20240715","2024","07","15",海の日,海の恩恵に感謝するとともに、海洋国日本の繁栄を願う。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
72,"000001","20240811","2024","08","11",山の日,山に親しむ機会を得て、山の恩恵に感謝する。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
73,"000001","20240812","2024","08","12",祝日法第3条第2項による休日,祝日法第3条第2項による休日,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
74,"000001","20240916","2024","09","16",敬老の日,多年にわたり社会につくしてきた老人を敬愛し、長寿を祝う。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
75,"000001","20240922","2024","09","22",秋分の日,祖先をうやまい、なくなった人々をしのぶ。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
76,"000001","20240923","2024","09","23",祝日法第3条第2項による休日,祝日法第3条第2項による休日,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
77,"000001","20241014","2024","10","14",スポーツの日,スポーツにしたしみ、健康な心身をつちかう。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
78,"000001","20241103","2024","11","03",文化の日,自由と平和を愛し、文化をすすめる。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
79,"000001","20241104","2024","11","04",祝日法第3条第2項による休日,祝日法第3条第2項による休日,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
80,"000001","20241123","2024","11","23",勤労感謝の日,勤労をたっとび、生産を祝い、国民たがいに感謝しあう。,"0",SysAdminChoyo,"2023-12-12 00:00:00",SysAdminChoyo,"2023-12-12 00:00:00"
